Compound,Date,Negative,Neutral,News Outlet,Positive,Tweet Text,Tweets Count
0.7964,Fri Jul 13 20:32:04 +0000 2018,0.0,0.728,@BBC,0.272,"Gary Barlow and his ten-piece band perform songs including Greatest Day, Back for Good and Rule the World against t… https://t.co/xAcRAKlkmn",1
0.8268,Fri Jul 13 18:31:05 +0000 2018,0.0,0.688,@BBC,0.312,"The world's greatest classical musical festival is back! 🎶🎻👏 @bbcproms 2018

First Night of the Proms | 8:30pm |… https://t.co/JKCkC5EMMs",2
0.0,Fri Jul 13 18:30:37 +0000 2018,0.0,1.0,@BBC,0.0,"RT @BBCSport: This is some semi-final.

Watch Kevin Anderson and John Isner live on @BBCTwo and online.

https://t.co/gmKgD0Vwbx https://t.…",3
-0.7876,Fri Jul 13 17:32:04 +0000 2018,0.331,0.669,@BBC,0.0,"When someone gets sassy but you've got a killer comeback... 😂👏 @robbrydon #WILTY

https://t.co/cmdBgsfTm1",4
0.9022,Fri Jul 13 17:02:05 +0000 2018,0.0,0.665,@BBC,0.335,"The best time to plant a tree was 20 years ago. The second best time is now. 🌳

Eight Chinese proverbs to help with… https://t.co/zqSO489S8G",5
-0.0516,Fri Jul 13 15:59:00 +0000 2018,0.062,0.938,@BBC,0.0,"When your colleagues ask why you need to leave work at 5pm on the dot... 🍷💃

#FridayFeeling #Versailles https://t.co/Tmba34H72w",6
0.0,Fri Jul 13 15:47:44 +0000 2018,0.0,1.0,@BBC,0.0,RT @BBCNews: Downton Abbey film finally confirmed https://t.co/VcQvk7lFJb,7
0.0382,Fri Jul 13 15:04:04 +0000 2018,0.0,0.952,@BBC,0.048,"""I can't pay you, but you can use the photos in your portfolio."" 🙄  

Every photographer can relate to this. 

https://t.co/AIriphAyym",8
-0.7579,Fri Jul 13 12:03:03 +0000 2018,0.427,0.418,@BBC,0.155,"The secret to a long, happy relationship? 

Lying, lying and more lying. ❤️️😂 @rhysnicholson

https://t.co/K0t1XAHovC",9
0.3182,Fri Jul 13 11:03:03 +0000 2018,0.0,0.881,@BBC,0.119,"The original 1926 map of The Hundred Acre Wood from Winnie-the-Pooh has sold for a record £430,000. 📖🍯… https://t.co/YoDZxpIlLe",10
0.0,Fri Jul 13 10:01:02 +0000 2018,0.0,1.0,@BBC,0.0,RT @bbcproms: A Spectacular curtain raiser last night by @AnnaHMeredith &amp; @59productions  commissioned by @bbcproms @edintfest @1418NOW  in…,11
0.0,Fri Jul 13 09:59:32 +0000 2018,0.0,1.0,@BBC,0.0,RT @BBCTheOneShow: It's @ChrisGPackham UK Bioblitz 2018. Over ten days Chris &amp; his team will visit 50 wildlife sites in the UK to highlight…,12
0.0,Fri Jul 13 08:03:04 +0000 2018,0.0,1.0,@BBC,0.0,"Who is the mysterious Hester Appleyard?

Natalie Dormer spills the beans on her enigmatic role in… https://t.co/6oHcD9SONr",13
0.1779,Fri Jul 13 07:27:05 +0000 2018,0.0,0.909,@BBC,0.091,"""I think the NHS is one of the biggest assets we have in this country,"" says @JonniePeacock.… https://t.co/PTiCP0xeHc",14
-0.4003,Fri Jul 13 07:03:02 +0000 2018,0.187,0.813,@BBC,0.0,"⚠️ Watch out! ⚠️ Today is Friday the 13th...

📆😰 But why is this date considered unlucky?

https://t.co/RJelR8Rw6p",15
-0.0772,Thu Jul 12 20:02:02 +0000 2018,0.071,0.929,@BBC,0.0,"😺🎬 Meet Lisio, the ginger cat who jumped onto his owner's shoulders during a serious TV interview.

👉… https://t.co/7DmhNcHnU6",16
0.6249,Thu Jul 12 18:04:07 +0000 2018,0.0,0.806,@BBC,0.194,"Great Britain's John Curry was the world's first out gay Olympian. This is his story. ⛸

https://t.co/8kFobV3AWe",17
-0.7271,Thu Jul 12 17:03:06 +0000 2018,0.313,0.55,@BBC,0.137,Not all heroes wear capes. This Australian diving doctor abandoned his holiday to stay with the boys trapped in a c… https://t.co/BRaTqIJP19,18
0.0,Thu Jul 12 16:03:02 +0000 2018,0.0,1.0,@BBC,0.0,"Orkney’s mysterious stone circles are older than Stonehenge... 

https://t.co/Cbuq22PkVm",19
0.6597,Thu Jul 12 14:47:18 +0000 2018,0.178,0.512,@BBC,0.31,"RT @BBCOne: Love and trust, shattered by secrets and lies. Keeping Faith from @BBCWales starring @TeamEveMyles starts tonight at 9pm on BBC…",20
0.4404,Thu Jul 12 13:04:03 +0000 2018,0.0,0.854,@BBC,0.146,"The university access watchdog says students' backgrounds should be taken into account when awarding places, to imp… https://t.co/q9vW9zt46B",21
0.0,Thu Jul 12 12:04:04 +0000 2018,0.0,1.0,@BBC,0.0,"Why are more parents around the world choosing to raise only children?

https://t.co/bWil43TvES",22
-0.3182,Thu Jul 12 11:43:48 +0000 2018,0.087,0.913,@BBC,0.0,"RT @BBCFOUR: Dr Lucy Worsley shows how Britain's new ruling family fought the French, the Jacobites and each other, all at the same time. T…",23
0.0,Thu Jul 12 11:02:03 +0000 2018,0.0,1.0,@BBC,0.0,Meet the people getting the @bbcproms off to a spectacular start. 😍🎶🎻 https://t.co/rD5I0XXrLz https://t.co/5im1Tokqsr,24
0.0,Thu Jul 12 10:30:00 +0000 2018,0.0,1.0,@BBC,0.0,"♻️🥛Meet the schoolchildren who redesigned their milk cartons without plastic straws. 

Their school now uses fully… https://t.co/hK4M1UtcHk",25
-0.1788,Thu Jul 12 08:03:03 +0000 2018,0.182,0.733,@BBC,0.086,"Adam can't hide the fact that he has a stutter, and he doesn't want to anymore.

https://t.co/JVzJkk828L",26
0.0,Thu Jul 12 07:31:08 +0000 2018,0.0,1.0,@BBC,0.0,"Native wildlife is ""flocking back"" to the Outer Hebrides following a 17-year project to eradicate the American mink… https://t.co/QbGQddmWyW",27
